"antecedent","succedent","realcon","realocc","realdur","p_con","p_occ","p_dur","null_obs"
"(inf_smile;m_gaze_away)","(i_gaze_at_object;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,6
"(i_gaze_at_object)","(m_gaze_at;mo_smile)",0.116,56,102.755,0.8526315789473684,0.47368421052631576,0.8526315789473684,95
"(i_gaze_away;m_gaze_away;mo_smile)","(infant_voc;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(infant_voc;m_gaze_at;mo_smile)","(inf_smile)",0.13,2,12.972,0.09090909090909091,0.7272727272727273,0.09090909090909091,11
"(i_gaze_away;inf_smile;mo_smile)","(m_gaze_at)",0.281,4,19.05,0.5185185185185185,0.19753086419753085,0.4444444444444444,81
"(inf_smile)","(m_gaze_at;mother-speech)",0.22,222,246.253,0.36,0.91,0.36,100
"(i_gaze_away;infant_voc;mo_smile)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,6
"(m_gaze_at_object)","(i_gaze_at;inf_smile)",999.0,999,999.0,999.0,999.0,999.0,39
"(infant_voc;m_gaze_away)","(i_gaze_at_object;inf_smile;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at;m_gaze_away;mo_smile;mother-speech)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,2
"(inf_smile;mo_smile)","(mother-speech)",0.327,130,166.415,0.14,0.0,0.01,100
"(infant_voc)","(i_gaze_at)",0.217,4,87.073,0.8888888888888888,0.9595959595959596,0.8787878787878788,99
"(inf_smile)","(i_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,100
"(i_gaze_at_object;m_gaze_at;mo_smile;mother-speech)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,18
"(i_gaze_at;m_gaze_at_object)","(inf_smile)",0.141,21,88.215,0.96,1.0,1.0,100
"(i_gaze_at;mo_smile)","(inf_smile;m_gaze_at)",0.224,107,206.328,0.0,0.0,0.0,99
"(i_gaze_at_object;m_gaze_away;mother-speech)","(inf_smile;infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at;m_gaze_at_object;mo_smile)","(mother-speech)",0.11,18,18.094,1.0,1.0,1.0,100
"(mo_smile)","(i_gaze_at_object)",0.149,57,224.218,0.99,0.18,0.99,100
"(i_gaze_away;mo_smile;mother-speech)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,21
"(i_gaze_at_object;infant_voc;m_gaze_at_object;mo_smile)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,4
"(inf_smile;infant_voc)","(m_gaze_at;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,10
"(i_gaze_away;m_gaze_at_object)","(inf_smile)",0.124,10,31.468,0.7875,0.7375,0.3375,80
"(i_gaze_at;inf_smile;mo_smile)","(m_gaze_at_object;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,13
"(i_gaze_at;inf_smile)","(m_gaze_at_object;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,42
"(m_gaze_away;mother-speech)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(m_gaze_away;mother-speech)","(i_gaze_at;inf_smile)",999.0,999,999.0,999.0,999.0,999.0,5
"(inf_smile;infant_voc;m_gaze_at_object)","(i_gaze_at_object;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at)","(inf_smile)",0.254,254,545.263,0.64,0.0,0.63,100
"(inf_smile;infant_voc;m_gaze_at_object;mother-speech)","(i_gaze_at;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(inf_smile;infant_voc)","(i_gaze_at;m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at;inf_smile;mother-speech)","(m_gaze_at;mo_smile)",0.155,6,45.303,999.0,999.0,999.0,3
"(i_gaze_away)","(m_gaze_at_object;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,36
"(m_gaze_away;mo_smile)","(i_gaze_at_object;inf_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,2
"(i_gaze_away;m_gaze_at)","(inf_smile;mo_smile)",0.123,9,29.755,0.4222222222222222,1.0,0.9777777777777777,45
"(i_gaze_at;inf_smile;infant_voc;mother-speech)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,4
"(mo_smile)","(inf_smile;m_gaze_at;mother-speech)",0.1,178,151.886,999.0,999.0,999.0,0
"(i_gaze_at_object;mo_smile)","(m_gaze_at_object;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,71
"(inf_smile;infant_voc;mo_smile)","(i_gaze_at_object;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(infant_voc;mo_smile)","(i_gaze_at;inf_smile)",0.115,3,15.25,999.0,999.0,999.0,1
"(i_gaze_at_object;infant_voc;mother-speech)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at_object;m_gaze_away;mo_smile)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,7
"(inf_smile;m_gaze_away;mo_smile)","(i_gaze_away;infant_voc;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_away;m_gaze_at_object)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_away;mother-speech)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,51
"(i_gaze_at;inf_smile)","(m_gaze_at;mother-speech)",0.25,116,146.278,0.0,0.72,0.02,100
"(i_gaze_away)","(mother-speech)",0.252,125,136.306,1.0,0.99,1.0,100
"(inf_smile;infant_voc;m_gaze_at;mo_smile)","(i_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,11
"(infant_voc;m_gaze_away)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,15
"(i_gaze_at;mo_smile;mother-speech)","(inf_smile;m_gaze_at)",0.14,21,58.801,999.0,999.0,999.0,0
"(i_gaze_at_object;infant_voc;mo_smile;mother-speech)","(m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,4
"(i_gaze_away;m_gaze_at_object;mo_smile)","(inf_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,6
"(infant_voc;m_gaze_away)","(i_gaze_away;mo_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(m_gaze_at_object;mo_smile)","(i_gaze_at;inf_smile)",999.0,999,999.0,999.0,999.0,999.0,26
"(m_gaze_away;mother-speech)","(i_gaze_at;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,7
"(i_gaze_at;infant_voc;mo_smile)","(m_gaze_at;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,2
"(inf_smile;infant_voc;m_gaze_away;mo_smile)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(m_gaze_away;mo_smile;mother-speech)","(i_gaze_at;inf_smile)",999.0,999,999.0,999.0,999.0,999.0,6
"(i_gaze_at;inf_smile;m_gaze_away;mo_smile)","(infant_voc;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(m_gaze_at_object;mother-speech)","(i_gaze_at)",0.114,8,55.735,0.9693877551020408,0.7755102040816326,1.0,98
"(inf_smile;mother-speech)","(i_gaze_at;mo_smile)",0.136,7,69.98,0.0,1.0,0.0,10
"(i_gaze_at_object;mother-speech)","(m_gaze_at;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(m_gaze_at;mo_smile;mother-speech)","(i_gaze_at)",0.29,9,127.974,0.0,0.24742268041237114,0.0,97
"(m_gaze_away;mother-speech)","(i_gaze_at;inf_smile;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(inf_smile)","(m_gaze_at_object;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,64
"(i_gaze_at;infant_voc;m_gaze_at_object;mother-speech)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,4
"(infant_voc;m_gaze_away)","(i_gaze_at_object;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(inf_smile;infant_voc;m_gaze_at)","(i_gaze_at;mo_smile)",0.126,1,10.875,0.2,1.0,0.0,5
"(m_gaze_away)","(mo_smile)",0.174,1,14.08,0.8351648351648352,1.0,0.8351648351648352,91
"(i_gaze_at;inf_smile;infant_voc;mo_smile)","(m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,25
"(i_gaze_at;m_gaze_away)","(inf_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,33
"(i_gaze_away)","(inf_smile;m_gaze_at;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(inf_smile;infant_voc;mo_smile;mother-speech)","(i_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at_object)","(mother-speech)",0.22,161,194.452,1.0,1.0,1.0,100
"(i_gaze_at_object;m_gaze_at)","(mother-speech)",0.184,48,50.796,1.0,1.0,1.0,100
"(i_gaze_away;infant_voc;m_gaze_at_object;mo_smile)","(inf_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,2
"(i_gaze_at_object;infant_voc;mo_smile;mother-speech)","(m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,3
"(i_gaze_away;inf_smile;m_gaze_at_object)","(infant_voc;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at;m_gaze_at)","(mo_smile;mother-speech)",0.186,290,270.646,0.0,0.0,0.0,99
"(i_gaze_away;inf_smile;mo_smile)","(m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,51
"(i_gaze_at_object;inf_smile;m_gaze_away)","(infant_voc;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,2
"(infant_voc;m_gaze_at;mo_smile)","(i_gaze_at;inf_smile)",0.127,2,12.652,999.0,999.0,999.0,1
"(inf_smile;mo_smile)","(i_gaze_at;m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,76
"(i_gaze_at_object;infant_voc)","(m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,53
"(infant_voc)","(m_gaze_at;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,11
"(inf_smile;infant_voc;m_gaze_at)","(mo_smile)",0.146,2,12.564,0.22580645161290322,0.5161290322580645,0.03225806451612903,31
"(i_gaze_away;inf_smile;mo_smile)","(m_gaze_at;mother-speech)",0.135,12,9.165,0.6944444444444444,0.3611111111111111,0.5972222222222222,72
"(m_gaze_at)","(i_gaze_at;mo_smile)",0.299,215,637.164,0.0,0.0,0.0,100
"(i_gaze_at_object;inf_smile;infant_voc;m_gaze_at;mo_smile)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,4
"(infant_voc;m_gaze_away)","(mo_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,3
"(inf_smile)","(i_gaze_at;m_gaze_at;mo_smile)",0.168,67,188.006,0.0,0.5454545454545454,0.0,77
"(inf_smile;m_gaze_at)","(i_gaze_away)",999.0,999,999.0,999.0,999.0,999.0,60
"(inf_smile;mother-speech)","(i_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,3
"(mo_smile)","(i_gaze_at_object;m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,9
"(i_gaze_at_object;infant_voc)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,36
"(i_gaze_away;inf_smile;m_gaze_at_object)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,64
"(i_gaze_at;mo_smile)","(m_gaze_at_object)",0.132,93,121.965,1.0,0.01,1.0,100
"(i_gaze_away;m_gaze_at_object)","(mo_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,31
"(i_gaze_away;infant_voc;m_gaze_at)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,11
"(i_gaze_at;inf_smile;m_gaze_at_object;mo_smile)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,2
"(i_gaze_at;inf_smile;infant_voc;m_gaze_at)","(mo_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(infant_voc;m_gaze_at)","(i_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,91
"(inf_smile;infant_voc;m_gaze_away)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,3
"(i_gaze_at)","(m_gaze_at;mo_smile)",0.3,281,642.73,0.0,0.0,0.0,100
"(i_gaze_at)","(mo_smile)",0.395,231,847.197,0.0,0.01,0.0,100
"(m_gaze_at_object)","(i_gaze_at;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,100
"(i_gaze_away;m_gaze_away;mo_smile)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,3
"(m_gaze_away;mo_smile)","(i_gaze_away)",0.418,1,19.915,0.0,1.0,0.0,23
"(inf_smile;infant_voc)","(mother-speech)",0.112,10,14.915,0.7875,0.35,0.2625,80
"(i_gaze_at_object;infant_voc;m_gaze_at_object)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,11
"(i_gaze_away;inf_smile;infant_voc;m_gaze_at_object)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,3
"(i_gaze_at_object;inf_smile)","(mo_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,61
"(i_gaze_at;infant_voc;m_gaze_at)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,53
"(i_gaze_away;inf_smile)","(m_gaze_at_object;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,15
"(inf_smile;m_gaze_away)","(i_gaze_at;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,48
"(inf_smile)","(i_gaze_at;m_gaze_at;mother-speech)",0.142,144,159.023,0.034482758620689655,0.7816091954022989,0.034482758620689655,87
"(i_gaze_at)","(m_gaze_at_object;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,100
"(i_gaze_at_object)","(m_gaze_at_object;mother-speech)",0.111,105,98.241,1.0,0.9797979797979798,1.0,99
"(mo_smile)","(i_gaze_at;mother-speech)",0.224,321,337.995,0.0,0.0,0.0,100
"(m_gaze_at)","(i_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,100
"(inf_smile;m_gaze_at;mo_smile;mother-speech)","(i_gaze_at)",0.234,2,44.593,0.0,0.868421052631579,0.0,38
"(i_gaze_away)","(inf_smile;m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,97
"(i_gaze_at;mo_smile;mother-speech)","(m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,34
"(i_gaze_at_object;inf_smile;mother-speech)","(m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,43
"(inf_smile;m_gaze_at)","(i_gaze_at)",0.477,22,297.148,0.07,0.88,0.19,100
"(i_gaze_at_object;mother-speech)","(m_gaze_at)",0.114,16,29.049,0.9052631578947369,0.22105263157894736,1.0,95
"(inf_smile;mo_smile;mother-speech)","(i_gaze_at)",0.267,2,67.795,0.0,0.9655172413793104,0.0,87
"(i_gaze_at;mo_smile)","(m_gaze_at)",0.596,76,549.157,0.0,0.53,0.0,100
"(i_gaze_at;m_gaze_away)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,52
"(i_gaze_away;inf_smile;infant_voc)","(m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,2
"(i_gaze_away;inf_smile;m_gaze_away)","(mo_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,23
"(infant_voc)","(mother-speech)",0.119,28,47.71,0.96,0.97,0.96,100
"(m_gaze_away)","(i_gaze_at_object;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,3
"(i_gaze_away;infant_voc)","(m_gaze_at;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,9
"(i_gaze_at_object;inf_smile;m_gaze_at)","(mother-speech)",0.102,5,3.263,1.0,1.0,1.0,100
"(m_gaze_away;mo_smile;mother-speech)","(i_gaze_away;inf_smile)",999.0,999,999.0,999.0,999.0,999.0,2
"(i_gaze_away;mo_smile)","(mother-speech)",0.197,35,33.921,0.93,0.99,0.99,100
"(i_gaze_at;inf_smile;mother-speech)","(m_gaze_at)",0.153,4,44.642,0.631578947368421,0.9894736842105263,0.5157894736842106,95
"(i_gaze_at_object;infant_voc;m_gaze_at;mo_smile)","(inf_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,3
"(i_gaze_at_object;m_gaze_away)","(inf_smile;mo_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,8
"(i_gaze_away;infant_voc;m_gaze_at)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,5
"(i_gaze_away;inf_smile;m_gaze_at;mo_smile)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,3
"(i_gaze_at;inf_smile;m_gaze_away;mother-speech)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,5
"(i_gaze_away;m_gaze_away;mo_smile)","(inf_smile;infant_voc)",999.0,999,999.0,999.0,999.0,999.0,2
"(i_gaze_at_object;inf_smile;m_gaze_at_object;mother-speech)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at;inf_smile;mo_smile)","(m_gaze_at;mother-speech)",0.227,62,73.923,0.01020408163265306,0.01020408163265306,0.0,98
"(infant_voc)","(i_gaze_at;m_gaze_at)",0.165,7,66.149,0.2127659574468085,0.925531914893617,0.20212765957446807,94
"(i_gaze_at_object;mother-speech)","(m_gaze_at_object;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(inf_smile;infant_voc;mother-speech)","(m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,2
"(infant_voc;mo_smile)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,68
"(i_gaze_at)","(m_gaze_at_object)",0.256,237,549.551,1.0,0.22,1.0,100
"(i_gaze_at;m_gaze_at_object;mo_smile;mother-speech)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,8
"(inf_smile;m_gaze_away)","(i_gaze_away;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,13
"(i_gaze_at;inf_smile)","(m_gaze_at)",0.511,38,298.634,0.09,0.98,0.2,100
"(i_gaze_at;infant_voc;mother-speech)","(m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,8
"(infant_voc;mo_smile)","(m_gaze_at)",0.211,2,28.045,0.24096385542168675,0.9156626506024096,0.3373493975903614,83
"(inf_smile;m_gaze_at_object;mo_smile)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at_object;mo_smile;mother-speech)","(m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,64
"(i_gaze_at;infant_voc)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,97
"(m_gaze_away;mo_smile;mother-speech)","(i_gaze_away)",999.0,999,999.0,999.0,999.0,999.0,3
"(inf_smile;infant_voc;mo_smile)","(i_gaze_at;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,4
"(inf_smile;m_gaze_away)","(i_gaze_away;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,25
"(infant_voc;m_gaze_at_object;mo_smile;mother-speech)","(i_gaze_away)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at_object)","(inf_smile;m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,37
"(i_gaze_at;infant_voc;m_gaze_away;mother-speech)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,2
"(inf_smile;m_gaze_away)","(i_gaze_away)",999.0,999,999.0,999.0,999.0,999.0,30
"(i_gaze_at;inf_smile;infant_voc)","(m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,18
"(i_gaze_away;m_gaze_at_object;mo_smile)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,94
"(i_gaze_at_object;infant_voc;m_gaze_away)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at_object;inf_smile)","(mother-speech)",0.167,18,17.107,1.0,1.0,1.0,100
"(i_gaze_away;mo_smile)","(inf_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,19
"(i_gaze_at;infant_voc;m_gaze_away;mo_smile)","(inf_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at_object;mo_smile)","(inf_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,9
"(i_gaze_at;inf_smile;infant_voc;m_gaze_away;mo_smile)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at_object;m_gaze_away;mo_smile)","(inf_smile;infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_away;mo_smile;mother-speech)","(inf_smile;m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,3
"(infant_voc;mo_smile;mother-speech)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at_object;inf_smile;mo_smile;mother-speech)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(inf_smile;m_gaze_at)","(mother-speech)",0.348,153,217.085,0.06,0.82,0.3,100
"(i_gaze_away;inf_smile;mother-speech)","(m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,40
"(i_gaze_away;inf_smile;infant_voc;m_gaze_at)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,3
"(inf_smile;infant_voc;mo_smile)","(i_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at;inf_smile;m_gaze_at_object;mother-speech)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,15
"(i_gaze_at;mother-speech)","(mo_smile)",0.194,33,188.842,0.0,0.48,0.0,100
"(inf_smile;m_gaze_at_object)","(i_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,91
"(i_gaze_at_object;inf_smile;mo_smile)","(m_gaze_at_object;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,23
"(i_gaze_away;inf_smile;m_gaze_at;mo_smile)","(mother-speech)",0.216,11,9.048,0.38636363636363635,0.22727272727272727,0.4090909090909091,88
"(i_gaze_at_object;m_gaze_away)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,48
"(i_gaze_at_object;infant_voc)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,39
"(infant_voc)","(mo_smile)",0.107,9,42.872,0.99,0.92,0.99,100
"(inf_smile;m_gaze_at;mo_smile)","(i_gaze_away)",999.0,999,999.0,999.0,999.0,999.0,36
"(i_gaze_at_object)","(inf_smile;m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,46
"(i_gaze_at_object;mother-speech)","(inf_smile;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at_object;m_gaze_away;mo_smile)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,15
"(mo_smile)","(mother-speech)",0.327,424,492.162,0.23,0.05,0.23,100
"(inf_smile;infant_voc;m_gaze_at_object)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,21
"(i_gaze_away;inf_smile;mo_smile)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,2
"(m_gaze_away)","(inf_smile;mother-speech)",0.15,9,12.145,0.2777777777777778,0.8518518518518519,0.2777777777777778,54
"(i_gaze_at_object;m_gaze_at;mo_smile)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,85
"(i_gaze_at_object;inf_smile)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,2
"(m_gaze_away)","(i_gaze_at;infant_voc)",999.0,999,999.0,999.0,999.0,999.0,2
"(m_gaze_at)","(inf_smile;mother-speech)",0.137,338,292.4,0.02,0.01,0.01,100
"(i_gaze_at_object;inf_smile;m_gaze_away)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,6
"(i_gaze_away;m_gaze_away)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,74
"(m_gaze_away)","(i_gaze_away;inf_smile;mo_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(inf_smile;m_gaze_away;mo_smile)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,5
"(inf_smile;infant_voc)","(m_gaze_at;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,2
"(inf_smile;mo_smile)","(m_gaze_at)",0.459,38,233.398,0.1,0.15,0.02,100
"(m_gaze_at)","(i_gaze_at)",0.618,107,1313.992,0.0,0.36,0.0,100
