"antecedent","succedent","p_con","p_occ","p_dur","null_obs"
"(mother-speech;m_gaze_at_object;infant_voc;i_gaze_at)","(mother-speech;m_gaze_at_object;infant_voc;i_gaze_at)",999.0,999.0,999.0,1
"(m_gaze_away;i_gaze_at;inf_smile)","(m_gaze_away;i_gaze_at;inf_smile)",999.0,999.0,999.0,4
"(m_gaze_at;infant_voc;i_gaze_at)","(m_gaze_at;infant_voc;i_gaze_at)",999.0,999.0,999.0,23
"(i_gaze_away;inf_smile;mo_smile)","(i_gaze_away;inf_smile;mo_smile)",999.0,999.0,999.0,13
"(inf_smile;i_gaze_away;mo_smile)","(inf_smile;i_gaze_away;mo_smile)",999.0,999.0,999.0,5
"(mother-speech;m_gaze_away)","(mother-speech;m_gaze_away)",999.0,999.0,999.0,7
"(i_gaze_away;mo_smile;infant_voc)","(i_gaze_away;mo_smile;infant_voc)",999.0,999.0,999.0,5
"(inf_smile)","(inf_smile)",0.08064516129032258,0.9838709677419355,0.04838709677419355,62
"(mother-speech)","(mother-speech)",999.0,999.0,999.0,12
"(i_gaze_at;infant_voc;m_gaze_away)","(i_gaze_at;infant_voc;m_gaze_away)",999.0,999.0,999.0,1
"(inf_smile;i_gaze_at)","(inf_smile;i_gaze_at)",999.0,999.0,999.0,20
"(i_gaze_at_object;m_gaze_at;inf_smile;mother-speech)","(i_gaze_at_object;m_gaze_at;inf_smile;mother-speech)",999.0,999.0,999.0,1
"(m_gaze_at_object;inf_smile;mo_smile)","(m_gaze_at_object;inf_smile;mo_smile)",999.0,999.0,999.0,24
"(mother-speech;mo_smile;infant_voc;i_gaze_at)","(mother-speech;mo_smile;infant_voc;i_gaze_at)",999.0,999.0,999.0,2
"(i_gaze_away;m_gaze_at_object)","(i_gaze_away;m_gaze_at_object)",999.0,999.0,999.0,7
"(m_gaze_at;i_gaze_at_object;mo_smile)","(m_gaze_at;i_gaze_at_object;mo_smile)",999.0,999.0,999.0,19
"(inf_smile)","(inf_smile)",999.0,999.0,999.0,26
"(mo_smile;i_gaze_at_object;inf_smile)","(mo_smile;i_gaze_at_object;inf_smile)",999.0,999.0,999.0,9
"(m_gaze_at_object)","(m_gaze_at_object)",999.0,999.0,999.0,37
"(m_gaze_away;mother-speech;i_gaze_at;infant_voc)","(m_gaze_away;mother-speech;i_gaze_at;infant_voc)",999.0,999.0,999.0,1
"(inf_smile;mo_smile;i_gaze_away)","(inf_smile;mo_smile;i_gaze_away)",999.0,999.0,999.0,14
"(m_gaze_away;inf_smile;i_gaze_at_object)","(m_gaze_away;inf_smile;i_gaze_at_object)",999.0,999.0,999.0,1
"(inf_smile;mo_smile)","(inf_smile;mo_smile)",999.0,999.0,999.0,47
"(m_gaze_away;i_gaze_at;mo_smile)","(m_gaze_away;i_gaze_at;mo_smile)",999.0,999.0,999.0,1
"(i_gaze_at;mo_smile)","(i_gaze_at;mo_smile)",999.0,999.0,999.0,16
"(m_gaze_away;i_gaze_at_object)","(m_gaze_away;i_gaze_at_object)",999.0,999.0,999.0,5
"(mo_smile;m_gaze_at_object;inf_smile)","(mo_smile;m_gaze_at_object;inf_smile)",999.0,999.0,999.0,1
"(mo_smile;mother-speech;infant_voc;m_gaze_at_object)","(mo_smile;mother-speech;infant_voc;m_gaze_at_object)",999.0,999.0,999.0,1
"(mother-speech;mo_smile;i_gaze_at;m_gaze_at)","(mother-speech;mo_smile;i_gaze_at;m_gaze_at)",999.0,999.0,999.0,3
"(inf_smile;i_gaze_at_object)","(inf_smile;i_gaze_at_object)",1.0,1.0,1.0,70
"(mother-speech;m_gaze_at;inf_smile;mo_smile;i_gaze_at_object)","(mother-speech;m_gaze_at;inf_smile;mo_smile;i_gaze_at_object)",999.0,999.0,999.0,1
"(mo_smile;m_gaze_at_object;infant_voc;mother-speech)","(mo_smile;m_gaze_at_object;infant_voc;mother-speech)",999.0,999.0,999.0,1
"(i_gaze_at;mother-speech;infant_voc)","(i_gaze_at;mother-speech;infant_voc)",999.0,999.0,999.0,10
"(inf_smile;i_gaze_at_object;infant_voc)","(inf_smile;i_gaze_at_object;infant_voc)",999.0,999.0,999.0,2
"(mo_smile;i_gaze_away)","(mo_smile;i_gaze_away)",999.0,999.0,999.0,0
"(mother-speech;inf_smile;m_gaze_at;i_gaze_at_object)","(mother-speech;inf_smile;m_gaze_at;i_gaze_at_object)",999.0,999.0,999.0,5
"(mo_smile;m_gaze_at_object;i_gaze_at;inf_smile)","(mo_smile;m_gaze_at_object;i_gaze_at;inf_smile)",999.0,999.0,999.0,4
"(mother-speech;mo_smile;inf_smile;infant_voc;i_gaze_at)","(mother-speech;mo_smile;inf_smile;infant_voc;i_gaze_at)",999.0,999.0,999.0,2
"(mo_smile;m_gaze_at_object;infant_voc;i_gaze_at)","(mo_smile;m_gaze_at_object;infant_voc;i_gaze_at)",999.0,999.0,999.0,1
"(inf_smile;infant_voc)","(inf_smile;infant_voc)",999.0,999.0,999.0,24
"(mother-speech;infant_voc;m_gaze_at;i_gaze_at_object)","(mother-speech;infant_voc;m_gaze_at;i_gaze_at_object)",999.0,999.0,999.0,1
"(mother-speech;inf_smile;i_gaze_at;m_gaze_away)","(mother-speech;inf_smile;i_gaze_at;m_gaze_away)",999.0,999.0,999.0,4
"(m_gaze_at;i_gaze_at;inf_smile)","(m_gaze_at;i_gaze_at;inf_smile)",0.0,0.8666666666666667,0.0,30
"(m_gaze_at_object;infant_voc)","(m_gaze_at_object;infant_voc)",999.0,999.0,999.0,26
"(i_gaze_at;mo_smile;inf_smile;mother-speech;infant_voc)","(i_gaze_at;mo_smile;inf_smile;mother-speech;infant_voc)",999.0,999.0,999.0,1
"(inf_smile;mo_smile;i_gaze_at_object;m_gaze_away)","(inf_smile;mo_smile;i_gaze_at_object;m_gaze_away)",999.0,999.0,999.0,2
"(m_gaze_at;i_gaze_at_object)","(m_gaze_at;i_gaze_at_object)",999.0,999.0,999.0,24
"(m_gaze_at_object;i_gaze_away;mother-speech)","(m_gaze_at_object;i_gaze_away;mother-speech)",999.0,999.0,999.0,8
"(inf_smile;i_gaze_away;mo_smile)","(inf_smile;i_gaze_away;mo_smile)",999.0,999.0,999.0,10
"(inf_smile;i_gaze_away;mother-speech;mo_smile)","(inf_smile;i_gaze_away;mother-speech;mo_smile)",999.0,999.0,999.0,1
"(mother-speech;mo_smile;infant_voc)","(mother-speech;mo_smile;infant_voc)",999.0,999.0,999.0,1
"(inf_smile;i_gaze_at_object)","(inf_smile;i_gaze_at_object)",0.875,1.0,1.0,16
"(i_gaze_away;infant_voc)","(i_gaze_away;infant_voc)",999.0,999.0,999.0,1
"(mother-speech;infant_voc;m_gaze_at;inf_smile)","(mother-speech;infant_voc;m_gaze_at;inf_smile)",999.0,999.0,999.0,1
"(i_gaze_at;infant_voc)","(i_gaze_at;infant_voc)",999.0,999.0,999.0,4
"(infant_voc;inf_smile;m_gaze_at)","(infant_voc;inf_smile;m_gaze_at)",999.0,999.0,999.0,2
"(i_gaze_away;mother-speech;inf_smile)","(i_gaze_away;mother-speech;inf_smile)",999.0,999.0,999.0,3
"(m_gaze_at_object;infant_voc;mo_smile;inf_smile)","(m_gaze_at_object;infant_voc;mo_smile;inf_smile)",999.0,999.0,999.0,1
"(infant_voc;mo_smile;i_gaze_at_object)","(infant_voc;mo_smile;i_gaze_at_object)",999.0,999.0,999.0,1
"(mo_smile;m_gaze_at;inf_smile;infant_voc)","(mo_smile;m_gaze_at;inf_smile;infant_voc)",999.0,999.0,999.0,1
"(m_gaze_at;infant_voc;i_gaze_away)","(m_gaze_at;infant_voc;i_gaze_away)",999.0,999.0,999.0,1
"(i_gaze_away;m_gaze_at)","(i_gaze_away;m_gaze_at)",999.0,999.0,999.0,7
"(mother-speech;i_gaze_at_object;inf_smile)","(mother-speech;i_gaze_at_object;inf_smile)",999.0,999.0,999.0,4
"(mo_smile;i_gaze_at)","(mo_smile;i_gaze_at)",0.0,0.019230769230769232,0.0,52
"(mother-speech;i_gaze_at;m_gaze_at_object)","(mother-speech;i_gaze_at;m_gaze_at_object)",999.0,999.0,999.0,24
"(i_gaze_at_object;mother-speech;inf_smile)","(i_gaze_at_object;mother-speech;inf_smile)",999.0,999.0,999.0,1
"(m_gaze_at_object;inf_smile)","(m_gaze_at_object;inf_smile)",999.0,999.0,999.0,60
"(infant_voc;mo_smile)","(infant_voc;mo_smile)",999.0,999.0,999.0,10
"(mother-speech;infant_voc;mo_smile;inf_smile)","(mother-speech;infant_voc;mo_smile;inf_smile)",999.0,999.0,999.0,1
"(mo_smile;i_gaze_at;m_gaze_at_object)","(mo_smile;i_gaze_at;m_gaze_at_object)",1.0,1.0,1.0,22
"(mo_smile;i_gaze_away;inf_smile)","(mo_smile;i_gaze_away;inf_smile)",999.0,999.0,999.0,13
"(mother-speech;i_gaze_at_object;m_gaze_at;infant_voc;mo_smile)","(mother-speech;i_gaze_at_object;m_gaze_at;infant_voc;mo_smile)",999.0,999.0,999.0,1
"(m_gaze_at;mother-speech;mo_smile)","(m_gaze_at;mother-speech;mo_smile)",999.0,999.0,999.0,25
"(m_gaze_at_object;i_gaze_at;mother-speech;mo_smile)","(m_gaze_at_object;i_gaze_at;mother-speech;mo_smile)",999.0,999.0,999.0,5
"(m_gaze_at_object;mother-speech;infant_voc)","(m_gaze_at_object;mother-speech;infant_voc)",999.0,999.0,999.0,1
"(i_gaze_away;mo_smile;m_gaze_at;inf_smile)","(i_gaze_away;mo_smile;m_gaze_at;inf_smile)",999.0,999.0,999.0,1
"(i_gaze_away;m_gaze_at_object;inf_smile)","(i_gaze_away;m_gaze_at_object;inf_smile)",999.0,999.0,999.0,2
"(i_gaze_at;mother-speech;mo_smile;m_gaze_at)","(i_gaze_at;mother-speech;mo_smile;m_gaze_at)",999.0,999.0,999.0,6
"(m_gaze_at_object;mo_smile;i_gaze_at_object;inf_smile)","(m_gaze_at_object;mo_smile;i_gaze_at_object;inf_smile)",999.0,999.0,999.0,2
"(mother-speech;i_gaze_at;infant_voc;mo_smile)","(mother-speech;i_gaze_at;infant_voc;mo_smile)",999.0,999.0,999.0,1
"(i_gaze_away;m_gaze_at;inf_smile)","(i_gaze_away;m_gaze_at;inf_smile)",999.0,999.0,999.0,7
"(mo_smile;infant_voc;i_gaze_at_object;m_gaze_at_object)","(mo_smile;infant_voc;i_gaze_at_object;m_gaze_at_object)",999.0,999.0,999.0,1
"(m_gaze_at)","(m_gaze_at)",999.0,999.0,999.0,3
"(inf_smile;mother-speech;m_gaze_at)","(inf_smile;mother-speech;m_gaze_at)",999.0,999.0,999.0,1
"(infant_voc;inf_smile;mo_smile;i_gaze_at_object)","(infant_voc;inf_smile;mo_smile;i_gaze_at_object)",999.0,999.0,999.0,1
"(mo_smile)","(mo_smile)",999.0,999.0,999.0,38
"(i_gaze_at;m_gaze_at;mother-speech;mo_smile)","(i_gaze_at;m_gaze_at;mother-speech;mo_smile)",999.0,999.0,999.0,1
"(mother-speech;m_gaze_at;i_gaze_at_object)","(mother-speech;m_gaze_at;i_gaze_at_object)",999.0,999.0,999.0,20
"(mo_smile;i_gaze_at;m_gaze_away)","(mo_smile;i_gaze_at;m_gaze_away)",999.0,999.0,999.0,30
"(m_gaze_away;mo_smile;inf_smile)","(m_gaze_away;mo_smile;inf_smile)",999.0,999.0,999.0,2
"(inf_smile;i_gaze_at_object;mother-speech;mo_smile)","(inf_smile;i_gaze_at_object;mother-speech;mo_smile)",999.0,999.0,999.0,1
"(inf_smile;i_gaze_at)","(inf_smile;i_gaze_at)",999.0,999.0,999.0,2
"(i_gaze_at;mother-speech;inf_smile;infant_voc)","(i_gaze_at;mother-speech;inf_smile;infant_voc)",999.0,999.0,999.0,2
"(m_gaze_at;inf_smile;infant_voc)","(m_gaze_at;inf_smile;infant_voc)",999.0,999.0,999.0,25
"(i_gaze_at;inf_smile)","(i_gaze_at;inf_smile)",999.0,999.0,999.0,34
"(m_gaze_at_object;mo_smile)","(m_gaze_at_object;mo_smile)",999.0,999.0,999.0,3
"(m_gaze_at_object;mo_smile)","(m_gaze_at_object;mo_smile)",999.0,999.0,999.0,19
"(m_gaze_at_object;i_gaze_at;infant_voc)","(m_gaze_at_object;i_gaze_at;infant_voc)",999.0,999.0,999.0,4
"(mother-speech;mo_smile;i_gaze_at_object)","(mother-speech;mo_smile;i_gaze_at_object)",999.0,999.0,999.0,48
"(inf_smile;i_gaze_at;infant_voc)","(inf_smile;i_gaze_at;infant_voc)",999.0,999.0,999.0,3
"(mo_smile;i_gaze_at;inf_smile)","(mo_smile;i_gaze_at;inf_smile)",1.0,0.0,0.4117647058823529,17
"(inf_smile;i_gaze_at_object;m_gaze_away)","(inf_smile;i_gaze_at_object;m_gaze_away)",999.0,999.0,999.0,4
"(m_gaze_at;mother-speech;infant_voc;i_gaze_at)","(m_gaze_at;mother-speech;infant_voc;i_gaze_at)",999.0,999.0,999.0,4
"(inf_smile;m_gaze_at_object;mo_smile)","(inf_smile;m_gaze_at_object;mo_smile)",999.0,999.0,999.0,3
"(infant_voc)","(infant_voc)",0.9848484848484849,1.0,1.0,66
"(m_gaze_at_object;mo_smile;i_gaze_at)","(m_gaze_at_object;mo_smile;i_gaze_at)",999.0,999.0,999.0,5
"(inf_smile;mo_smile;mother-speech;i_gaze_at_object;m_gaze_at)","(inf_smile;mo_smile;mother-speech;i_gaze_at_object;m_gaze_at)",999.0,999.0,999.0,1
"(i_gaze_at_object;mo_smile;mother-speech)","(i_gaze_at_object;mo_smile;mother-speech)",999.0,999.0,999.0,1
"(inf_smile;i_gaze_at;infant_voc;mo_smile)","(inf_smile;i_gaze_at;infant_voc;mo_smile)",999.0,999.0,999.0,1
"(m_gaze_at_object;mother-speech)","(m_gaze_at_object;mother-speech)",999.0,999.0,999.0,49
"(infant_voc;inf_smile;mother-speech)","(infant_voc;inf_smile;mother-speech)",999.0,999.0,999.0,1
"(mother-speech;inf_smile;m_gaze_at;i_gaze_away)","(mother-speech;inf_smile;m_gaze_at;i_gaze_away)",999.0,999.0,999.0,2
"(inf_smile;infant_voc;mo_smile;i_gaze_away)","(inf_smile;infant_voc;mo_smile;i_gaze_away)",999.0,999.0,999.0,1
"(mo_smile;mother-speech;i_gaze_at;m_gaze_away)","(mo_smile;mother-speech;i_gaze_at;m_gaze_away)",999.0,999.0,999.0,1
"(i_gaze_at;mother-speech;infant_voc;inf_smile)","(i_gaze_at;mother-speech;infant_voc;inf_smile)",999.0,999.0,999.0,1
"(mother-speech;i_gaze_at;infant_voc;inf_smile)","(mother-speech;i_gaze_at;infant_voc;inf_smile)",999.0,999.0,999.0,1
"(mother-speech;infant_voc)","(mother-speech;infant_voc)",999.0,999.0,999.0,18
"(inf_smile;infant_voc;i_gaze_at_object;mo_smile)","(inf_smile;infant_voc;i_gaze_at_object;mo_smile)",999.0,999.0,999.0,1
"(m_gaze_at;infant_voc;mother-speech;i_gaze_at;inf_smile)","(m_gaze_at;infant_voc;mother-speech;i_gaze_at;inf_smile)",999.0,999.0,999.0,1
"(m_gaze_at;inf_smile;infant_voc;i_gaze_at)","(m_gaze_at;inf_smile;infant_voc;i_gaze_at)",999.0,999.0,999.0,2
"(inf_smile;m_gaze_away;infant_voc)","(inf_smile;m_gaze_away;infant_voc)",999.0,999.0,999.0,1
"(mo_smile;i_gaze_at_object;infant_voc;inf_smile)","(mo_smile;i_gaze_at_object;infant_voc;inf_smile)",999.0,999.0,999.0,1
"(inf_smile;mo_smile;i_gaze_away)","(inf_smile;mo_smile;i_gaze_away)",999.0,999.0,999.0,1
"(i_gaze_at;inf_smile;infant_voc;mo_smile)","(i_gaze_at;inf_smile;infant_voc;mo_smile)",999.0,999.0,999.0,1
"(inf_smile;m_gaze_away)","(inf_smile;m_gaze_away)",999.0,999.0,999.0,1
"(mother-speech;i_gaze_away)","(mother-speech;i_gaze_away)",999.0,999.0,999.0,5
"(mother-speech;mo_smile;infant_voc)","(mother-speech;mo_smile;infant_voc)",999.0,999.0,999.0,2
"(mother-speech;i_gaze_at)","(mother-speech;i_gaze_at)",1.0,0.23529411764705882,0.9852941176470589,68
"(mo_smile;m_gaze_at;i_gaze_at_object;infant_voc)","(mo_smile;m_gaze_at;i_gaze_at_object;infant_voc)",999.0,999.0,999.0,1
"(mo_smile;inf_smile;infant_voc)","(mo_smile;inf_smile;infant_voc)",999.0,999.0,999.0,2
"(mother-speech;inf_smile)","(mother-speech;inf_smile)",0.0,0.9534883720930233,0.0,43
"(i_gaze_away)","(i_gaze_away)",999.0,999.0,999.0,6
"(i_gaze_at;mother-speech;mo_smile)","(i_gaze_at;mother-speech;mo_smile)",999.0,999.0,999.0,4
"(i_gaze_at_object;infant_voc)","(i_gaze_at_object;infant_voc)",999.0,999.0,999.0,37
"(inf_smile;mo_smile;infant_voc)","(inf_smile;mo_smile;infant_voc)",999.0,999.0,999.0,2
"(mo_smile;inf_smile;mother-speech)","(mo_smile;inf_smile;mother-speech)",999.0,999.0,999.0,2
"(inf_smile;mo_smile;infant_voc)","(inf_smile;mo_smile;infant_voc)",999.0,999.0,999.0,1
"(i_gaze_away)","(i_gaze_away)",999.0,999.0,999.0,31
"(mo_smile;inf_smile)","(mo_smile;inf_smile)",0.05660377358490566,0.0,0.0,53
"(m_gaze_away;i_gaze_at_object)","(m_gaze_away;i_gaze_at_object)",999.0,999.0,999.0,1
"(mo_smile;inf_smile;i_gaze_at)","(mo_smile;inf_smile;i_gaze_at)",999.0,999.0,999.0,6
"(inf_smile;mother-speech;mo_smile)","(inf_smile;mother-speech;mo_smile)",999.0,999.0,999.0,1
"(inf_smile;mo_smile;m_gaze_away)","(inf_smile;mo_smile;m_gaze_away)",999.0,999.0,999.0,5
"(m_gaze_at;infant_voc;i_gaze_at)","(m_gaze_at;infant_voc;i_gaze_at)",999.0,999.0,999.0,2
"(m_gaze_at;i_gaze_at_object;infant_voc)","(m_gaze_at;i_gaze_at_object;infant_voc)",999.0,999.0,999.0,2
"(mother-speech;inf_smile;m_gaze_at)","(mother-speech;inf_smile;m_gaze_at)",999.0,999.0,999.0,19
"(inf_smile;i_gaze_at_object;mother-speech)","(inf_smile;i_gaze_at_object;mother-speech)",999.0,999.0,999.0,1
"(infant_voc;mother-speech;i_gaze_at_object)","(infant_voc;mother-speech;i_gaze_at_object)",999.0,999.0,999.0,1
"(infant_voc;mother-speech;mo_smile)","(infant_voc;mother-speech;mo_smile)",999.0,999.0,999.0,2
"(infant_voc;m_gaze_away)","(infant_voc;m_gaze_away)",999.0,999.0,999.0,1
"(m_gaze_away;mo_smile)","(m_gaze_away;mo_smile)",999.0,999.0,999.0,2
"(i_gaze_at;infant_voc;mother-speech)","(i_gaze_at;infant_voc;mother-speech)",999.0,999.0,999.0,1
"(mo_smile)","(mo_smile)",999.0,999.0,999.0,50
"(inf_smile)","(inf_smile)",999.0,999.0,999.0,8
"(inf_smile;m_gaze_at)","(inf_smile;m_gaze_at)",999.0,999.0,999.0,23
"(m_gaze_at;mo_smile;infant_voc;inf_smile)","(m_gaze_at;mo_smile;infant_voc;inf_smile)",999.0,999.0,999.0,2
"(mo_smile;inf_smile;mother-speech;i_gaze_away)","(mo_smile;inf_smile;mother-speech;i_gaze_away)",999.0,999.0,999.0,1
"(infant_voc)","(infant_voc)",0.11428571428571428,0.9714285714285714,0.2,35
"(infant_voc;i_gaze_at_object;mo_smile)","(infant_voc;i_gaze_at_object;mo_smile)",999.0,999.0,999.0,2
"(m_gaze_at;infant_voc;mo_smile;i_gaze_at_object)","(m_gaze_at;infant_voc;mo_smile;i_gaze_at_object)",999.0,999.0,999.0,2
"(mo_smile;mother-speech;m_gaze_at;inf_smile;i_gaze_at)","(mo_smile;mother-speech;m_gaze_at;inf_smile;i_gaze_at)",999.0,999.0,999.0,1
"(mo_smile;inf_smile)","(mo_smile;inf_smile)",999.0,999.0,999.0,16
"(i_gaze_at;mo_smile)","(i_gaze_at;mo_smile)",999.0,999.0,999.0,48
"(mother-speech;i_gaze_at_object;inf_smile)","(mother-speech;i_gaze_at_object;inf_smile)",999.0,999.0,999.0,2
"(m_gaze_at_object;infant_voc;mother-speech)","(m_gaze_at_object;infant_voc;mother-speech)",999.0,999.0,999.0,3
"(i_gaze_at;inf_smile;mother-speech;infant_voc)","(i_gaze_at;inf_smile;mother-speech;infant_voc)",999.0,999.0,999.0,1
"(i_gaze_away;mo_smile;inf_smile)","(i_gaze_away;mo_smile;inf_smile)",999.0,999.0,999.0,12
"(mother-speech;inf_smile;infant_voc;i_gaze_away)","(mother-speech;inf_smile;infant_voc;i_gaze_away)",999.0,999.0,999.0,1
"(infant_voc;inf_smile;mo_smile)","(infant_voc;inf_smile;mo_smile)",999.0,999.0,999.0,6
"(m_gaze_away;mo_smile)","(m_gaze_away;mo_smile)",999.0,999.0,999.0,7
"(m_gaze_at;inf_smile;mother-speech)","(m_gaze_at;inf_smile;mother-speech)",999.0,999.0,999.0,1
"(m_gaze_at_object)","(m_gaze_at_object)",999.0,999.0,999.0,2
"(inf_smile)","(inf_smile)",999.0,999.0,999.0,1
"(i_gaze_at_object;infant_voc;m_gaze_at_object)","(i_gaze_at_object;infant_voc;m_gaze_at_object)",999.0,999.0,999.0,7
"(mother-speech;i_gaze_away;infant_voc)","(mother-speech;i_gaze_away;infant_voc)",999.0,999.0,999.0,1
"(inf_smile;infant_voc;i_gaze_at_object)","(inf_smile;infant_voc;i_gaze_at_object)",999.0,999.0,999.0,4
"(infant_voc)","(infant_voc)",999.0,999.0,999.0,1
"(i_gaze_at;mother-speech;m_gaze_at;inf_smile)","(i_gaze_at;mother-speech;m_gaze_at;inf_smile)",999.0,999.0,999.0,2
"(mo_smile;mother-speech;i_gaze_at_object;infant_voc)","(mo_smile;mother-speech;i_gaze_at_object;infant_voc)",999.0,999.0,999.0,1
"(i_gaze_at;infant_voc;m_gaze_at)","(i_gaze_at;infant_voc;m_gaze_at)",999.0,999.0,999.0,8
"(inf_smile;m_gaze_away)","(inf_smile;m_gaze_away)",999.0,999.0,999.0,17
"(infant_voc;mother-speech;inf_smile)","(infant_voc;mother-speech;inf_smile)",999.0,999.0,999.0,1
"(inf_smile;infant_voc)","(inf_smile;infant_voc)",999.0,999.0,999.0,31
"(i_gaze_at;inf_smile;infant_voc)","(i_gaze_at;inf_smile;infant_voc)",999.0,999.0,999.0,1
"(inf_smile)","(inf_smile)",999.0,999.0,999.0,3
"(inf_smile;m_gaze_away)","(inf_smile;m_gaze_away)",999.0,999.0,999.0,1
"(m_gaze_at;infant_voc;mo_smile;inf_smile)","(m_gaze_at;infant_voc;mo_smile;inf_smile)",999.0,999.0,999.0,1
"(m_gaze_at_object;mo_smile)","(m_gaze_at_object;mo_smile)",999.0,999.0,999.0,2
"(mo_smile;infant_voc)","(mo_smile;infant_voc)",999.0,999.0,999.0,10
"(i_gaze_away;mo_smile;m_gaze_at_object;inf_smile)","(i_gaze_away;mo_smile;m_gaze_at_object;inf_smile)",999.0,999.0,999.0,3
"(i_gaze_away)","(i_gaze_away)",999.0,999.0,999.0,24
"(mother-speech;inf_smile;mo_smile;m_gaze_away)","(mother-speech;inf_smile;mo_smile;m_gaze_away)",999.0,999.0,999.0,2
"(inf_smile;m_gaze_at_object)","(inf_smile;m_gaze_at_object)",999.0,999.0,999.0,25
"(m_gaze_at;infant_voc;i_gaze_at_object)","(m_gaze_at;infant_voc;i_gaze_at_object)",999.0,999.0,999.0,8
"(mother-speech;inf_smile;infant_voc;m_gaze_at_object)","(mother-speech;inf_smile;infant_voc;m_gaze_at_object)",999.0,999.0,999.0,2
"(m_gaze_at_object;i_gaze_at;mo_smile;infant_voc;inf_smile)","(m_gaze_at_object;i_gaze_at;mo_smile;infant_voc;inf_smile)",999.0,999.0,999.0,1
